t,u,v,w,p,q,r,xf,yf,zf,e0,ex,ey,ez,Phi,Psi
0.0,174.9976499091778,0.0,-0.9069323375232328,0.0,0.0,0.0,0.0,0.0,-1500.0,0.9238764307906369,0.0009916261287256367,-0.0023939972487729607,0.3826821475903299,0.0,0.0
0.0166666666666667,174.9976499091778,0.0,-0.906932337523233,0.0,-2.7283843100530294e-19,0.0,2.0623947784607677,2.062394778460768,-1500.0,0.9238764307906369,0.0009916261287256367,-0.0023939972487729607,0.3826821475903299,9.872808502231856e-08,9.872808502231907e-08
0.0333333333333334,174.9976499091778,0.0,-0.9069323375232332,0.0,-5.456768620106059e-19,0.0,4.124789556921524,4.124789556921547,-1500.0,0.923876430790636,0.0009916261287256426,-0.002393997248772958,0.3826821475903322,1.9745617004463607e-07,1.9745617004464007e-07
0.0500000000000001,174.9976499091778,-1.1605425881488948e-19,-0.9069323375232334,8.690727308465615e-23,-8.185152930159088e-19,-2.6018110617761436e-23,6.187184335382281,6.187184335382325,-1500.0,0.923876430790636,0.0009916261287256424,-0.002393997248772958,0.38268214759033214,2.9618425506695316e-07,2.9618425506696343e-07
0.0666666666666668,174.9976499091778,-3.4743145499955765e-19,-0.9069323375232337,4.1705255292736153e-22,-1.0913537240212117e-18,-1.3021910095310492e-22,8.249579113843069,8.249579113843073,-1500.0,0.9238764307906387,0.0009916261287256248,-0.0023939972487729655,0.38268214759032537,3.9491234008927124e-07,3.949123400892887e-07
0.08333333333333351,174.9976499091778,-5.771992658867915e-19,-0.9069323375232339,1.0361285156930828e-21,-1.349034464415109e-18,-3.3878033656759826e-22,10.311973892303937,10.31197389230374,-1500.0,0.9238764307906462,0.0009916261287255782,-0.002393997248772985,0.3826821475903074,4.936404251115927e-07,4.936404251116145e-07
0.10000000000000021,174.9976499091778,-8.050646632022687e-19,-0.9069323375232341,1.8996300578268585e-21,-1.5460844423633833e-18,-6.515645507079325e-22,12.374368670764955,12.374368670764257,-1500.0,0.9238764307906602,0.000991626128725491,-0.002393997248773021,0.38268214759027375,5.923685101339208e-07,5.923685101339384e-07
0.11666666666666692,174.9976499091778,-9.146818873977538e-19,-0.9069323375232342,2.881670114697005e-21,-1.727976729700252e-18,-1.042037707872932e-21,14.436763449226214,14.436763449224534,-1500.0,0.9238764307906825,0.0009916261287253514,-0.0023939972487730787,0.38268214759021985,6.910965951562601e-07,6.910965951562571e-07
0.1333333333333336,174.9976499091778,-1.0225477115957668e-18,-0.9069323375232344,3.878647560464841e-21,-1.9098690170371205e-18,-1.4831938961965446e-21,16.499158227687825,16.499158227684458,-1500.0,0.9238764307907151,0.000991626128725147,-0.0023939972487731632,0.382682147590141,7.898246801786156e-07,7.898246801785661e-07
0.1500000000000003,174.9976499091778,-1.012469553229183e-18,-0.9069323375232347,4.797384308750532e-21,-2.0917613043739893e-18,-1.9478131737180005e-21,18.561553006149918,18.5615530061439,-1500.0,0.9238764307907599,0.0009916261287248671,-0.002393997248773279,0.382682147590033,8.885527652009936e-07,8.885527652008601e-07
0.166666666666667,174.9976499091778,-1.2332074127507292e-18,-0.9069323375232348,5.736678283131084e-21,-4.850460995649833e-19,-2.4604981958576624e-21,20.623947784612646,20.62394778460271,-1500.0,0.9238764307908186,0.0009916261287244994,-0.0023939972487734312,0.3826821475898911,9.872808502234018e-07,9.87280850223133e-07
0.18333333333333368,174.9976499091778,-1.3351529754133063e-18,-0.9069323375232348,6.767202902545979e-21,2.8648035255556804e-18,-3.0461280014205327e-21,22.686342563076177,22.686342563060713,-1500.0,0.9238764307908932,0.000991626128724033,-0.0023939972487736247,0.3826821475897111,1.0860089352458477e-06,1.0860089352453776e-06
0.20000000000000037,174.9976499091778,-1.66692817386864e-18,-0.9069323375232348,7.962190642660672e-21,6.063076244562287e-18,-3.729383634495848e-21,24.748737341540703,24.748737341517725,-1500.0,0.9238764307909855,0.0009916261287234555,-0.002393997248773864,0.38268214758948826,1.184737020268341e-06,1.1847370202675856e-06
0.21666666666666706,174.9976499091778,-1.878786871548883e-18,-0.9069323375232348,9.36996208824614e-21,9.17040281990046e-18,-4.53501699199397e-21,26.811132120006434,26.81113211997353,-1500.0,0.9238764307910974,0.0009916261287227558,-0.0023939972487741538,0.3826821475892182,1.2834651052908913e-06,1.283465105289748e-06
0.23333333333333375,174.9976499091778,-2.0871055464003796e-18,-0.9069323375232348,1.0870373029482046e-20,1.2186783251570197e-17,-5.4353603339966756e-21,28.873526898473603,28.873526898427897,-1500.0,0.9238764307912307,0.0009916261287219216,-0.0023939972487744994,0.3826821475888963,1.38219319031351e-06,1.3821931903118546e-06
0.25000000000000044,174.9976499091778,-2.291628000094288e-18,-0.9069323375232348,1.2442667661903807e-20,1.5097059848960094e-17,-6.428410204493312e-21,30.93592167694246,30.935921676880575,-1500.0,0.9238764307913874,0.0009916261287209415,-0.0023939972487749053,0.38268214758851804,1.4809212753362088e-06,1.4809212753338941e-06
0.26666666666666716,174.9976499091778,-2.6081593602463907e-18,-0.9069323375232348,1.4155466473928787e-20,1.7901232612070152e-17,-7.537970361504644e-21,32.998316455413274,32.99831645533129,-1500.0,0.9238764307915692,0.0009916261287198037,-0.0023939972487753767,0.382682147588079,1.5796493603590014e-06,1.5796493603558546e-06
0.2833333333333339,174.9976499091778,-3.035726848377233e-18,-0.9069323375232348,1.6148969982854673e-20,2.0008151607055546e-17,-8.813799381992117e-21,35.060711233886344,35.060711233779756,-1500.0,0.9238764307917782,0.0009916261287184968,-0.002393997248775918,0.3826821475875747,1.6783774453819012e-06,1.6783774453777232e-06
